Model,Test Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.7806666666666666,0.4714003944773176,0.7966666666666666,0.5923172242874845,0.8613277777777777
Random Forest,0.8906666666666667,0.6725888324873096,0.8833333333333333,0.7636887608069164,0.9622722222222223
XGBoost,0.9893333333333333,0.9493670886075949,1.0,0.974025974025974,0.9925083333333333
Neural Network,0.8433333333333334,0.6164874551971327,0.5733333333333334,0.5941278065630398,0.89765
Voting Ensemble,0.934,0.7964601769911505,0.9,0.8450704225352113,0.981238888888889
